timestamp,device_id,device_name,log_type,log_desc,log_line_count,battery_level,mac_id
Thu Aug 31 18:44:43 2023,device_id,device_name,MQTT,CONNECTED,90,0%,40:91:51:B2:EB:68
Thu Aug 31 19:07:11 2023,device_id,device_name,POWER,CONNECTED,91,0%,40:91:51:B2:EB:68
Thu Aug 31 19:07:11 2023,device_id,device_name,WiFi,CONNECTED,92,0%,40:91:51:B2:EB:68
Thu Aug 31 19:07:13 2023,device_id,device_name,MQTT,CONNECTED,93,0%,40:91:51:B2:EB:68
Thu Aug 31 19:44:16 2023,device_id,device_name,MQTT,CONNECTED,94,0%,40:91:51:B2:EB:68
Thu Aug 31 19:54:47 2023,device_id,device_name,POWER,DISCONNECTED,95,0%,40:91:51:B2:EB:68
Thu Aug 31 19:55:11 2023,device_id,device_name,MQTT,DISCONNECTED,96,0%,40:91:51:B2:EB:68
Thu Aug 31 20:13:52 2023,device_id,device_name,WIFI,DISCONNECTED,97,0%,40:91:51:B2:EB:68
Fri Sep  1 01:56:11 2023,device_id,device_name,MQTT,DISCONNECTED,98,0%,40:91:51:B2:EB:68
Sat Sep  2 20:43:39 2023,device_id,device_name,POWER,CONNECTED,99,0%,40:91:51:B2:EB:68
Sat Sep  2 20:43:39 2023,device_id,device_name,WiFi,CONNECTED,100,0%,40:91:51:B2:EB:68
Sat Sep  2 20:43:39 2023,device_id,device_name,MQTT,CONNECTED,101,0%,40:91:51:B2:EB:68
Sat Sep  2 21:20:33 2023,device_id,device_name,POWER,DISCONNECTED,102,0%,40:91:51:B2:EB:68
Sat Sep  2 21:21:00 2023,device_id,device_name,MQTT,DISCONNECTED,103,0%,40:91:51:B2:EB:68
Sun Sep  3 03:22:02 2023,device_id,device_name,MQTT,DISCONNECTED,104,0%,40:91:51:B2:EB:68
Sun Sep  3 18:38:38 2023,device_id,device_name,POWER,CONNECTED,105,0%,40:91:51:B2:EB:68
Sun Sep  3 18:38:38 2023,device_id,device_name,WiFi,CONNECTED,106,0%,40:91:51:B2:EB:68
Sun Sep  3 18:38:39 2023,device_id,device_name,MQTT,CONNECTED,107,0%,40:91:51:B2:EB:68
Sun Sep  3 18:39:19 2023,device_id,device_name,POWER,DISCONNECTED,108,0%,40:91:51:B2:EB:68
Sun Sep  3 18:39:20 2023,device_id,device_name,POWER,CONNECTED,109,0%,40:91:51:B2:EB:68
Sun Sep  3 18:39:21 2023,device_id,device_name,POWER,DISCONNECTED,110,0%,40:91:51:B2:EB:68
Sun Sep  3 18:39:22 2023,device_id,device_name,POWER,CONNECTED,111,0%,40:91:51:B2:EB:68
Sun Sep  3 18:39:23 2023,device_id,device_name,POWER,DISCONNECTED,112,0%,40:91:51:B2:EB:68
Sun Sep  3 18:39:24 2023,device_id,device_name,POWER,CONNECTED,113,0%,40:91:51:B2:EB:68
Sun Sep  3 18:39:25 2023,device_id,device_name,POWER,DISCONNECTED,114,0%,40:91:51:B2:EB:68
Sun Sep  3 18:42:10 2023,device_id,device_name,WiFi,CONNECTED,115,0%,40:91:51:B2:EB:68
Sun Sep  3 18:42:18 2023,device_id,device_name,MQTT,CONNECTED,116,0%,40:91:51:B2:EB:68
Sun Sep  3 18:59:50 2023,device_id,device_name,WiFi,CONNECTED,117,0%,40:91:51:B2:EB:68
Sun Sep  3 18:59:51 2023,device_id,device_name,MQTT,CONNECTED,118,0%,40:91:51:B2:EB:68
Sun Sep  3 19:08:57 2023,device_id,device_name,WiFi,CONNECTED,119,0%,40:91:51:B2:EB:68
Sun Sep  3 19:08:58 2023,device_id,device_name,MQTT,CONNECTED,120,0%,40:91:51:B2:EB:68
